Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (t)
Agriculture and Agri-Food Canada,FY 2005-06,facilities,2,electricity,524494.1065,54100.25373
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,natural gas,446241.3017,22229.48008
Agriculture and Agri-Food Canada,FY 2005-06,facilities,2,district energy,154568,11203.65196
Agriculture and Agri-Food Canada,FY 2005-06,fleets,1,gasoline,73844.05779,4540.532151
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",59955.49569,4271.967786
Agriculture and Agri-Food Canada,FY 2005-06,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",41332.3642,2915.521965
Agriculture and Agri-Food Canada,FY 2005-06,fleets,1,fuels with renewable content,14431.98297,591.2746769
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,liquified petroleum gas,1769.303143,107.9541955
Agriculture and Agri-Food Canada,FY 2005-06,fleets,1,liquified petroleum gas,68.28638,4.15583732
Agriculture and Agri-Food Canada,FY 2010-11,facilities,2,Electricity,469326.7928,46228.79886
Agriculture and Agri-Food Canada,FY 2010-11,facilities,1,Natural gas,487357.7284,24291.45813
Agriculture and Agri-Food Canada,FY 2010-11,facilities,2,District energy,121579.1206,9297.939279
Agriculture and Agri-Food Canada,FY 2010-11,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",43348.97408,3085.821299
Agriculture and Agri-Food Canada,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",42780.6021,3017.765362
Agriculture and Agri-Food Canada,FY 2010-11,fleets,1,Gasoline,40747.665,2611.819489
Agriculture and Agri-Food Canada,FY 2010-11,fleets,1,Fuels with renewable content,17497.65114,843.4562475
Agriculture and Agri-Food Canada,FY 2010-11,facilities,1,Liquified petroleum gas,1041.673546,63.5457904
Agriculture and Agri-Food Canada,FY 2010-11,fleets,1,Natural gas,0.029108,0.001660611
Agriculture and Agri-Food Canada,FY 2011-12,facilities,2,Electricity,459553.8852,40389.6687
Agriculture and Agri-Food Canada,FY 2011-12,facilities,1,Natural gas,451914.4942,22524.85469
Agriculture and Agri-Food Canada,FY 2011-12,facilities,2,District energy,113769,8744.630027
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,Gasoline,49424.662,3167.89776
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",43460.4095,3045.351771
Agriculture and Agri-Food Canada,FY 2011-12,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",42760.4712,3043.928388
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,Fuels with renewable content,21330.05094,1187.84725
Agriculture and Agri-Food Canada,FY 2011-12,facilities,1,Liquified petroleum gas,866.96874,52.888176
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,Liquified petroleum gas,23.23458,1.41403212
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,Natural gas,0.006194,0.000353368
Agriculture and Agri-Food Canada,FY 2012-13,facilities,2,Electricity,463884.786,42524.77905
Agriculture and Agri-Food Canada,FY 2012-13,facilities,1,Natural gas,472787.1224,23565.21282
Agriculture and Agri-Food Canada,FY 2012-13,facilities,2,District energy,85865,7000.946186
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,Gasoline,53793.18875,3448.622317
Agriculture and Agri-Food Canada,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",38482.8953,2739.64831
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",36279.80267,2540.648482
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,Fuels with renewable content,18272.93625,1018.633777
Agriculture and Agri-Food Canada,FY 2012-13,facilities,1,Liquified petroleum gas,2605.58857,158.950168
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,Liquified petroleum gas,60.66807,3.69219498
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,Natural gas,0.010754,0.000613516
Agriculture and Agri-Food Canada,FY 2013-14,facilities,2,Electricity,455846.6052,37340.02912
Agriculture and Agri-Food Canada,FY 2013-14,facilities,1,Natural gas,540121.8912,26921.3917
Agriculture and Agri-Food Canada,FY 2013-14,facilities,2,District energy,81635.4,6734.88815
Agriculture and Agri-Food Canada,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",43602.27099,3062.184135
Agriculture and Agri-Food Canada,FY 2013-14,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",42152.1492,3000.843948
Agriculture and Agri-Food Canada,FY 2013-14,fleets,1,Gasoline,43037.78955,2758.349001
Agriculture and Agri-Food Canada,FY 2013-14,fleets,1,Fuels with renewable content,16170.98017,930.8289252
Agriculture and Agri-Food Canada,FY 2013-14,facilities,1,Liquified petroleum gas,2785.49205,169.92492
Agriculture and Agri-Food Canada,FY 2013-14,fleets,1,Liquified petroleum gas,58.840688,3.580982432
Agriculture and Agri-Food Canada,FY 2014-15,facilities,2,Electricity,427400.6487,35417.75366
Agriculture and Agri-Food Canada,FY 2014-15,facilities,1,Natural gas,518947.2894,25865.98225
Agriculture and Agri-Food Canada,FY 2014-15,facilities,2,District energy,50390,4182.11805
Agriculture and Agri-Food Canada,FY 2014-15,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",45312.71353,3230.888547
Agriculture and Agri-Food Canada,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",36849.08425,2582.923652
